align_first,avg,align_same,align_diff,misalign_same,misalign_diff
0,0.03125,0,0,0,0.125
1,0.0625,0.125,0.125,0,0
1,0.1875,0.375,0,0.25,0.125
1,0.15625,0.375,0,0.25,0
0,0.09375,0.125,0,0.125,0.125
1,0.3125,0.375,0.125,0.375,0.375
1,0.21875,0.375,0.25,0.25,0
0,0.09375,0,0.125,0.125,0.125
0,0.0625,0.25,0,0,0
1,0.3125,0.875,0,0.375,0
0,0.28125,0.375,0.25,0.25,0.25
0,0.1875,0.25,0.25,0,0.25
1,0.125,0.25,0.125,0,0.125
1,0.09375,0.125,0.125,0,0.125
1,0.125,0.25,0.125,0,0.125
0,0.09375,0.25,0,0.125,0
0,0,0,0,0,0
0,0.25,0.25,0.25,0.125,0.375
0,0.09375,0.125,0.25,0,0
0,0.21875,0.375,0.25,0.125,0.125
1,0.09375,0.125,0,0.125,0.125
0,0.125,0.375,0.125,0,0
0,0.09375,0,0.25,0,0.125
0,0.09375,0.25,0,0,0.125
0,0.28125,0,0.125,0.75,0.25
0,0.0625,0.125,0.125,0,0
0,0.25,0.75,0.125,0.125,0
1,0.28125,0.375,0,0.375,0.375
1,0.21875,0.125,0.375,0,0.375
1,0.0625,0,0,0.25,0
1,0.1875,0.375,0,0,0.375
0,0.1875,0,0.125,0,0.625
1,0.1875,0.5,0.125,0.125,0
