color,pos,ti,correct,rt,resp
red,right,-5,1,915.30699986872,KeyZ
green,right,-4,1,829.29400012517,Slash
red,right,-3,1,817.70099991909,KeyZ
green,right,-2,1,509.42200003621,Slash
green,left,-1,1,544.03499981895,Slash
green,left,0,1,734.76499987543,Slash
red,left,1,1,609.48599982923,KeyZ
green,left,2,1,520.64499992266,Slash
green,right,3,1,596.71100016824,Slash
red,left,4,0,794.31700002742,Slash
red,right,5,0,625.37799992743,Slash
green,right,6,0,537.27700007302,KeyZ
green,left,7,0,802.01099990955,KeyZ
green,right,8,1,439.91399988883,Slash
green,left,9,1,454.15800009372,Slash
red,left,10,1,422.11699995321,KeyZ
red,right,11,1,497.64200013977,KeyZ
green,right,12,1,373.30000002712,Slash
green,right,13,1,365.02900020638,Slash
green,left,14,1,502.51099991253,Slash
red,left,15,1,282.25499982863,KeyZ
red,left,16,1,616.58500006825,KeyZ
green,left,17,1,483.14699981433,Slash
red,right,18,1,1029.3669999143,KeyZ
green,left,19,1,624.62200008568,Slash
red,left,20,1,964.44200011176,KeyZ
red,left,21,1,494.53299990643,KeyZ
red,left,22,0,650.30199981702,Slash
red,right,23,1,566.90000014409,KeyZ
red,right,24,0,460.81500008256,Slash
green,right,25,1,513.16199998703,Slash
red,right,26,0,458.70100018894,Slash
green,right,27,0,873.1200000824,KeyZ
red,right,28,1,874.89199998256,KeyZ
green,left,29,1,524.40700006587,Slash
green,left,30,1,556.82900010997,Slash
red,left,31,1,1025.4070000507,KeyZ
red,right,32,1,653.88000010446,KeyZ
red,left,33,1,567.27500010683,KeyZ
green,left,34,1,600.81999986872,Slash
green,right,35,1,1066.8019998142,Slash
red,right,36,1,583.10900004902,KeyZ
green,right,37,1,960.47700002801,Slash
red,right,38,1,820.24700001536,KeyZ
green,right,39,1,890.08400015497,Slash
